108
0	X E E E A A X X X X
1	X X X X X X X X X X
2	E E E E E E E E E E
5 	X E E E A A X X X X
8	E E E E E E E E E E
10 	X E E E A A X X X X
15  X A X X X X X E E E
20 	X E E E A A X X X X
22	A A A A X X X X X X
25	X X X X X X E X A A
30 	X E E E A A X X E E
35	X E E E A A X X X X
37  X X X X X X X X X X
40  E E E E E E E E E E
45  X E E E A A X X X X
50  E E E E E E E E E E
55  X E E E A A X X X X
60  X A X X X X X E E E
65  X E E E A A X X X X
70  A A A A X X X X X X
72  X X X X X X E X A A
75  X E E E A A X X E E
80	X E E E A A X X X X
84  X X X X X X X X X X
86  E E E E E E E E E E
90  X E E E A A X X X X
95  E E E E E E E E E E
100 X E E E A A X X X X
